"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""Green: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""White: (1, 0)""","""White: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""White: (1, 4)""","""White: (1, 5)""","""Wall: (2, 0)""","""Brown: (2, 1)""","""White: (2, 2)""","""White: (2, 3)""","""Green: (2, 4)""","""White: (2, 5)""","""Green: (3, 0)""","""White: (3, 1)""","""Brown: (3, 2)""","""White: (3, 3)""","""White: (3, 4)""","""White: (3, 5)""","""White: (4, 0)""","""Green: (4, 1)""","""White: (4, 2)""","""Brown: (4, 3)""","""Brown: (4, 4)""","""Green: (4, 5)""","""White: (5, 0)""","""Wall: (5, 1)""","""Green: (5, 2)""","""Wall: (5, 3)""","""Wall: (5, 4)""","""Wall: (5, 5)"""
1,-0.04,-0.04,1,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0,-1,-0.04,-0.04,1,-0.04,1,-0.04,-1,-0.04,-0.04,-0.04,-0.04,1,-0.04,-1,-1,1,-0.04,0,1,0,0,0
1.88704,1.44661568,1.09779961856,1.96449729789952,1.50796185993642,1.1463857930696446,1.44661568,1.2449745708800002,1.0507420223744002,1.6159453201514855,1.4881169176936822,1.248120792327291,0,-0.11694013986303975,0.7766506078740839,1.4157171037395109,2.314784592083608,1.9129133553706195,1.88704,1.5419586061535593,0.2941596262531534,1.1064097491607547,1.8988839620971323,1.7522945201626203,1.54957568,2.4789178405692027,2.051424732729871,0.6352629534889724,0.6658071303763373,2.552732165876053,1.1793439385600002,0,2.8227283883220577,0,0,0
2.82456759232,2.4635249679545606,2.1238173970725174,3.0365271976684833,2.6615413395388194,2.3049968928690414,2.4635249679545606,2.259024206662579,2.0362935041664763,2.7138461723175946,2.6020224357061554,2.438374883655001,0,0.8544585080098561,1.7974918408630367,2.516481535337253,3.4993118632593543,3.1463312666793533,2.83476063232,2.535134679306767,1.388869406796657,2.27854095950759,3.13050770818876,3.0035693847084834,2.603951279333791,3.5587206127000837,3.1954549069752187,1.8192668737110336,1.9121900098046196,3.8208542480815058,2.2558395130672424,0,4.089700507212141,0,0,0
3.760578696584622,3.4059106959821177,3.0693322504404974,4.000198105977495,3.649249713683429,3.319799579113156,3.4059106959821177,3.196259487032548,2.976011602624538,3.680382269728915,3.582570353742636,3.4375426738976262,0,1.793980598268195,2.743736940505573,3.4929245891980285,4.494682049896029,4.15745827731966,3.7835629000511655,3.4864992367263827,2.3492873883878937,3.268895989205927,4.140762255535182,4.029336646398579,3.5666863341518766,4.522292341741506,4.179115336323677,2.8135874697971315,2.936293436453849,4.860192244716675,3.2314718002356004,0,5.119620046796356,0,0,0
4.687860777559129,4.326400583945282,3.9849983039381023,4.923947453678708,4.5757165699887175,4.2529444064791315,4.326400583945281,4.109448068955076,3.8873118602486922,4.599284722498679,4.500602963587544,4.357107412857415,0,2.703916906951023,3.6522383014357205,4.409178615000797,5.412574599501061,5.077017044671184,4.724256491026624,4.417005856513646,3.2735726484969883,4.1860886185798165,5.060086184037701,4.951371977407257,4.502420029806531,5.4509071852340325,5.1080445675393955,3.7385392302405185,3.8588626737786216,5.8206171158058755,4.1657480800534215,0,6.068423846328393,0,0,0
5.605197610615767,5.234465524244824,4.885055401456392,5.8363828084866025,5.4809708181454395,5.153324018085506,5.234465524244824,5.008752656266758,4.780159578451241,5.501210675983229,5.3954198517257215,5.245976287779683,0,3.5961914693935597,4.538418024488425,5.302107125153676,6.300705815379432,5.959696484034017,5.655052116455569,5.334464043040943,4.179895318699181,5.074027011892664,5.942673505721203,5.832848462915342,5.424180670521827,6.3637028426525095,6.014636248718518,4.636035966956252,4.7418060717246435,6.763621848011655,5.080769210903865,0,7.00773960786511,0,0,0
6.512443157958886,6.131933580974085,5.773347679142331,6.736592715552879,6.372144107035125,6.036268863052474,6.131933580974085,5.896788618914583,5.66089329207561,6.389956431954212,6.2754576364267765,6.117763017411569,0,4.475582926074666,5.411418802395489,6.180345831267454,7.172026637264853,6.823355633266129,6.575645322143573,6.2410003862417,5.074051755963713,5.94548969927063,6.806300574770175,6.6957008258644795,6.334911562941969,7.265115577510566,6.910068882407423,5.52034559582314,5.606702832157623,7.689261448338969,5.983242261609004,0,7.937662211786461,0,0,0
7.409648278257803,7.019284934169158,6.651263524012549,7.624698786191599,7.2508740112664745,6.9059413730889885,7.019284934169158,6.774611312260205,6.531092917695166,7.266609943521819,7.143022239473883,6.976474017292471,0,5.344305330428628,6.273566055822484,7.046268751884927,8.03036642779327,7.673595520284809,7.486056226761177,7.137289201480832,5.9579129064575795,6.804301986134411,7.656550489200161,7.544910827340281,7.235359218499653,8.156242574171873,7.795406055450284,6.3941017065304235,6.458240939778598,8.598078122376709,6.875086468850308,0,8.858285589668597,0,0,0
8.296905824410448,7.896745141329583,7.519275439662094,8.501006234305674,8.11779266639339,7.76365091543133,7.896745141329583,7.64257811977648,7.391275766478911,8.131692440159423,7.998968162930743,7.823470182177047,0,6.203091138101832,7.125577036159986,7.900738815537635,8.877041884287571,8.512086892297972,8.386376660675676,8.023584352770234,6.831856133463442,7.651737397549504,8.495085346619845,8.382013930975713,8.125778892729619,9.037419748809127,8.6709604716469,7.257938764848259,7.297853266358189,9.490706986204243,7.75688400387422,0,9.769702733771911,0,0,0
9.17432085854134,8.764455122814242,8.37759302667684,9.365840121184046,8.973304698080854,8.609982309543268,8.76445512281424,8.500865815308902,8.241676944419421,8.985569241605432,8.843755151005977,8.659338930579018,0,7.052223874976571,7.9677514463410875,8.744205379083741,9.712627014463525,9.339494528749032,9.27671371504226,8.900031981068254,7.696057808886868,8.48833383262949,9.322565024052029,9.22939324962151,9.006313927825806,9.908808352095898,9.536886508583171,8.112095101948169,8.162061343824373,10.36992985642051,8.628863663605134,0,10.672005706434192,0,0,0
10.042000942118943,9.622531519032394,9.226352690212186,10.219511457418776,9.817741999335267,9.445314466245637,9.622531519032394,9.349601600955387,9.082453244061574,9.828547705387358,9.67771631503287,9.484447412010507,0,7.891862024767114,8.800273642278004,9.5769869476842,10.537482987672922,10.158356751738525,10.157176998957409,9.766750550483707,8.550645290918352,9.314421483747955,10.14152418484053,10.090705272296788,9.877081288886517,10.770528712153503,10.393301188763477,8.95671968348459,9.025039413622869,11.238587324028055,9.491163386191939,0,11.565285649369848,0,0,0
10.900053459812185,10.47108351905004,10.065669934580738,11.062310855733354,10.651400570863263,10.269955678071064,10.47108351905004,10.188898286635684,9.913737741398227,10.660904149327498,10.501135558562462,10.29930229293262,0,8.722128874052927,9.623292757539373,10.399352885043397,11.35211261642288,10.969483941164633,11.027875753670818,10.623850697941727,9.395732553453831,10.130475902045514,10.95277012846681,10.944265225305816,10.738190987010253,11.622690823311547,11.24031193414229,9.791959414808176,9.878764305297098,12.097063563014272,10.343897612178123,0,12.449632792876148,0,0,0
11.74858490107861,11.310217440417148,10.8956535727323,11.894508557956778,11.474551854714916,11.084201608063578,11.310217440417148,11.018863775810102,10.735654654192606,11.48289300896452,11.314291045742543,11.104233377601687,0,9.543136851969239,10.436944970084797,11.21156796416416,12.156842646855646,11.771020737997514,11.888918204234713,11.471440157606692,10.23142903834298,10.936797545132187,11.754444590583033,11.788046613680299,11.589750516975752,12.4654013765557,12.07802301152281,10.61794116416016,10.722562022599435,12.945500249400068,11.187174136656065,0,13.325136464947388,0,0,0
12.587700673462338,12.14003797378867,11.716409589706194,12.716355960899456,12.287449368177658,11.888314963177567,12.14003797378867,11.839603645410774,11.548323563830461,12.294752767380098,12.117429101253338,11.899278082608978,0,10.354994187548682,11.2413619155733,12.013866443445506,12.951707679155502,12.562797626823798,12.740411421153729,12.30962500640009,11.057842112851388,11.73339860684885,12.546375558723547,12.621943992592836,12.43186588301337,13.299076890791197,12.906783776708707,11.43495538848319,11.55646101807583,13.784013177482151,12.021098258404493,0,14.191885100297915,0,0,0
13.417505059460021,12.960648527393083,12.528042215895454,13.528087587855609,13.090328338055313,12.682511755272678,12.960648527393083,12.651221870726454,12.351860924161748,13.096705082097738,12.91075199072528,12.684601205481977,0,11.157806975824428,12.036669520443828,12.806439767781745,13.736870078720372,13.344949076955944,13.582461298666296,13.138540851338655,11.875126230678315,12.520428973233928,13.328696025963387,13.446051798402932,13.264672683150359,14.123843087032677,13.730294048512022,12.245975938231515,12.380568983925746,14.612714869178488,12.845798220219175,0,15.049966249294936,0,0,0
14.238101212190795,13.772151329468945,13.330654263805071,14.329922647165821,13.883405689104611,13.467001488885566,13.772151329468945,13.453821066048844,13.14638026560013,13.88895482993155,13.694459526320463,13.460395050864118,0,11.951679457441243,12.82298697365238,13.589478073490692,14.512520232740025,14.11765426240754,14.415175612743555,13.958295817195815,12.683745108413362,13.298098306507928,14.101586884716276,14.260486406018165,14.088282146541015,14.940122768240132,14.570997041382283,13.069093007003973,13.195003607384923,15.431717102633831,13.661387507663882,0,15.899466586801987,0,0,0
