"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""White: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""White: (0, 6)""","""White: (1, 0)""","""White: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""White: (1, 4)""","""White: (1, 5)""","""White: (1, 6)""","""Wall: (2, 0)""","""Brown: (2, 1)""","""White: (2, 2)""","""White: (2, 3)""","""Green: (2, 4)""","""White: (2, 5)""","""White: (2, 6)""","""Green: (3, 0)""","""White: (3, 1)""","""Brown: (3, 2)""","""White: (3, 3)""","""White: (3, 4)""","""White: (3, 5)""","""White: (3, 6)""","""White: (4, 0)""","""Green: (4, 1)""","""White: (4, 2)""","""Brown: (4, 3)""","""Brown: (4, 4)""","""Green: (4, 5)""","""White: (4, 6)""","""White: (5, 0)""","""Wall: (5, 1)""","""Green: (5, 2)""","""Wall: (5, 3)""","""Wall: (5, 4)""","""Wall: (5, 5)""","""Green: (5, 6)""","""White: (6, 0)""","""White: (6, 1)""","""Wall: (6, 2)""","""White: (6, 3)""","""White: (6, 4)""","""White: (6, 5)""","""Wall: (6, 6)"""
1,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0,-1,-0.04,-0.04,1,-0.04,-0.04,1,-0.04,-1,-0.04,-0.04,-0.04,-0.04,-0.04,1,-0.04,-1,-1,1,-0.04,-0.04,0,1,0,0,0,1,-0.04,-0.04,0,-0.04,-0.04,-0.04,0
4.1155233475288995,3.558021963635496,3.0649077393460464,2.6290529949012256,2.2552528167595023,1.9315788633183624,1.6487795365708477,0.8929424828747525,0.7682597522860941,0.678109042696936,0.6052355724782247,0.6446076157167319,0.6465414300984478,0.6217245079093018,0,-2.678018555385468,-1.9954412279668161,-1.5001144494305187,-0.09222421647119883,-0.027318270665820862,0.014558883957192827,4.108740914731761,3.130798819963722,1.4604902761428669,1.0179306204118288,0.6906235550430747,0.554591028451244,0.4646468708657709,0.7866358332449758,2.1147645155857573,2.1542462434996836,0.85667180847282,-0.3195914946327072,0.8521097297206139,1.0258279887674089,-0.019330328690434537,0,4.586148266465049,0,0,0,4.206170354404714,-0.17744046356199922,-0.21847313196800508,0,-0.1960398004,-0.23401853903280642,-0.2714246751446875,0
7.692327499725747,7.291923879197114,6.895163602711415,6.499369701521279,6.104293480977939,5.710995888731287,5.324609978723698,7.291667872725559,7.024379487374949,6.643118224268189,6.251365478209697,5.859965992852198,5.474431072221855,5.130245474353441,0,4.693548176332257,4.593615399585517,4.383042685626142,5.121062401721116,5.193946818867597,4.928567382653315,7.623110174446356,7.1674814398356315,5.742368480052491,5.407469194505576,5.0619019332325905,5.370094866898845,5.558300271868004,7.34145272300731,8.014404375071248,7.095685946386863,5.620714852221462,4.123606651045297,6.712499642355628,6.787042370072554,6.972532160198998,0,8.345834726034742,0,0,0,7.980829459821453,6.537201467052681,6.147865483874324,0,-0.3459310100654363,-0.3824716064206158,-0.4186462041164068,0
11.169037718986111,10.735394009281364,10.311765409212178,9.898626298074724,9.51769860309204,9.150757257058492,8.788952449935607,10.735393984689484,10.436514940998903,10.033993851098597,9.650549800228578,9.480092461338169,9.1813792152974,8.823717172769207,0,7.9104110221565005,9.547874938387775,9.483079918532447,10.25427915878332,8.968784516945133,8.177839157437507,11.020626321976398,10.078229730945703,8.491147120806543,8.437679995244535,8.367790045024131,9.136562714704048,9.234442294532085,10.220575984457183,11.251968040193049,10.653711029968886,9.086936018895607,8.06054019820622,10.38871531742309,10.416875142051797,9.84914119292084,0,11.957374537948416,0,0,0,11.606751935594943,9.444004318766947,9.089378666839663,0,-0.489915908004128,-0.5250167487803137,-0.5597665797823185,0
14.49476799971327,14.025395970143556,13.5764853516182,13.141318685432566,12.665580634970791,12.232114253683266,11.822358601805401,14.025395970141195,13.700168840291562,13.351133370130563,12.954454423716523,11.992900558325397,11.837467632122946,11.577815724960564,0,12.173940501156242,12.858683983473167,11.988407078857831,12.853340621815226,12.484325038540367,11.66449142847862,14.2094528846387,13.281422901275876,11.902718572554294,11.800853769485578,12.480700266139268,12.680740880863985,12.717488037092377,13.392889887411634,14.454810565541361,14.086652283699298,12.479254952596543,11.613224410841587,13.871761067058399,13.896086070105298,12.98361639401003,0,15.426605271228844,0,0,0,15.08979859839228,12.534433210813328,12.140573180017064,0,-0.6282272264642926,-0.6619449541994287,-0.6953255046544132,0
17.6756816007875,17.171073064847793,16.68769898127562,16.224116300374725,15.779553193347867,15.237180545185659,14.744652980173393,17.171073064847793,16.811321426182722,16.433518563032873,16.065625938861952,15.702457834860322,14.224947540844278,14.081918526175418,0,15.2567768045832,15.96985932877859,15.721298142267962,15.361050137815488,15.031704283970592,14.90187869311759,17.276664529830246,16.40503235094917,15.105129079094542,14.382561432965197,15.047308059290565,15.928780845345178,16.043698940722326,16.50230270859444,17.591632324449417,17.38151774094681,15.662674196409824,14.85272486073847,17.197971970689032,17.236020819041876,16.058623845758685,0,18.7591344713874,0,0,0,18.435599325319213,15.571003025411635,15.143277766319002,0,-0.7610885271149662,-0.7934776418438164,-0.8255428654253726,0
20.717738351387045,20.179463912180676,19.662956599611164,19.167525194120717,18.701535974041025,18.247476826241453,17.708347617016933,20.179463912180676,19.78649145585553,19.37662733157847,18.98629619514863,18.697604462178962,18.290247031532104,17.083049367789766,0,18.200109144053684,18.890522006191993,18.716314079361908,19.389124085131424,18.104304992701824,18.08236534825944,20.242835687549128,19.45483749815542,18.33697356960368,18.313421626766473,18.099215776950494,19.111014048792644,19.24582394044479,19.529095618328622,20.644172526470665,20.566765874008272,18.896621127737554,18.030956539882357,20.40009697041149,20.445085635650504,19.052831744144648,0,21.960348724268197,0,0,0,21.649562153860337,18.528961278313247,18.0693344122388,0,-0.8887145624034135,-0.9198274167793794,-0.9506291426115857,0
23.626990255830083,23.056442917276804,22.507839423679368,21.974738450611195,21.398560754077064,20.869385844571568,20.378211064834616,23.056442917276804,22.63135964319087,22.183977875536474,21.687799504687206,20.55078358282788,20.327082743662686,20.096992503341642,0,21.007309427347835,21.592024031384135,20.58173178156125,21.363115964821493,21.014410932601038,21.142812854904324,23.116748878536946,22.40009769218936,21.315055826886557,20.82011812984977,21.063221435833558,22.17656502172014,22.323820746269043,22.4665941620901,23.60275433102319,23.615269416946674,21.854743921059764,21.09710765639788,23.47809377623574,23.527975033307847,21.959411305939454,0,25.035422362740633,0,0,0,24.736882023245254,21.401049969490963,20.91104949758372,0,-1.0113116226736152,-1.0411985064468792,-1.0707865213824104,0
26.40920461934761,25.807661894870538,25.22841736197249,24.670050124719722,24.134046365410995,23.540730081612672,23.01623486371079,25.80766189487054,25.35204228056615,24.87946772272601,24.42013123124883,24.004448558234355,22.95356688587996,22.93656974756907,0,23.702711874125228,24.324364744439976,24.023290077758222,24.094676323351585,23.98023043514711,24.092025632116936,25.90261601265911,25.278950645522634,24.236743603698333,23.703022813235954,23.975141659120567,25.12316438993573,25.279729085798234,25.335722693877557,26.514475976589374,26.556621554844607,24.7596712988588,24.04061730699739,26.434002115764937,26.489246951762414,24.79524343450592,0,27.989325830313433,0,0,0,27.702549171370123,24.200471770503306,23.678577685040153,0,-1.1290778696069004,-1.1577870909108314,-1.1862092200017231,0
29.069942657598002,28.438973785668225,27.83086620198132,27.245085308534154,26.69106521601246,26.16095014643291,25.644214947146253,28.438973785668225,27.954396699047365,27.45412074348417,26.97549217313621,26.60931989097496,26.21505213853986,25.822730815388518,0,26.27766564013987,26.87971762596517,26.627996479560277,27.313728740673476,26.857199843198117,26.934213094045777,28.615623805191554,28.088016075093723,27.05878035334555,26.509261272632187,26.8521103399833,27.965227580296286,28.121090513340402,28.13970508252911,29.338239861439682,29.386003863183227,27.558183070381176,26.882803969746323,29.275363543307105,29.334070535202684,27.570052275900675,0,30.826833715189032,0,0,0,30.551357200846954,26.94226569292426,26.391186175327174,0,-1.2422036565236894,-1.2697816199584526,-1.2970838037588681,0
