"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""White: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""White: (0, 6)""","""White: (1, 0)""","""White: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""White: (1, 4)""","""White: (1, 5)""","""White: (1, 6)""","""Wall: (2, 0)""","""Brown: (2, 1)""","""White: (2, 2)""","""White: (2, 3)""","""Green: (2, 4)""","""White: (2, 5)""","""White: (2, 6)""","""Green: (3, 0)""","""White: (3, 1)""","""Brown: (3, 2)""","""White: (3, 3)""","""White: (3, 4)""","""White: (3, 5)""","""White: (3, 6)""","""White: (4, 0)""","""Green: (4, 1)""","""White: (4, 2)""","""Brown: (4, 3)""","""Brown: (4, 4)""","""White: (4, 5)""","""White: (4, 6)""","""White: (5, 0)""","""Wall: (5, 1)""","""Green: (5, 2)""","""Wall: (5, 3)""","""Wall: (5, 4)""","""Wall: (5, 5)""","""Green: (5, 6)""","""White: (6, 0)""","""White: (6, 1)""","""Wall: (6, 2)""","""White: (6, 3)""","""White: (6, 4)""","""White: (6, 5)""","""Wall: (6, 6)"""
1,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0,-1,-0.04,-0.04,1,-0.04,-0.04,1,-0.04,-1,-0.04,-0.04,-0.04,-0.04,-0.04,1,-0.04,-1,-1,-0.04,-0.04,-0.04,0,1,0,0,0,1,-0.04,-0.04,0,-0.04,-0.04,-0.04,0
1.88704,1.44661568,1.09779961856,0.8215372978995201,0.6027375399364199,0.42944813162964457,0.2922029202506785,1.44661568,1.2449745708800002,1.0507420223744002,0.8695598742125774,0.8341264275470451,0.6591834956485946,0.5070414176585041,0,-0.11694013986303975,0.7766506078740839,0.8341264275470451,1.7392466469444172,1.3987825104491893,1.11407284862395,1.88704,1.5419586061535593,0.2941596262531534,0.6457899336163219,1.3974565478079943,1.2022239465087494,1.0184945776487007,1.54957568,2.4789178405692027,2.051424732729871,0.5896615917500734,0.16120208344718878,0.9241603718962011,0.8917659777290127,1.1793439385600002,0,2.8227283883220577,0,0,0,1.99,0.8861203993395201,0.6538873562768999,0,-0.0796,-0.0796,-0.0796,0
2.82456759232,2.4635249679545606,2.1238173970725174,1.8094819985205313,1.5353592756091239,1.2837790773829716,1.0558782187403226,2.4635249679545606,2.259024206662579,2.0362935041664763,1.8344616894805394,1.737079644401388,1.6013406755612833,1.4430869707135996,0,0.8544585080098561,1.7399143639199828,1.757330598144163,2.702124916758906,2.377635831657987,2.0867841519609933,2.83476063232,2.535134679306767,1.3831692365792945,1.6270877863845186,2.3801847956294875,2.1795568366276665,1.9810854774484223,2.603951279333791,3.5587206127000837,3.1948905901237,1.7498115358132948,1.1498295770017943,1.888326974527462,1.848692426093144,2.2558395130672424,0,4.089253568265738,0,0,0,2.9701000000000004,1.8990856621552816,1.5935455409698094,0,-0.11880399999999999,-0.11880399999999999,-0.11880399999999999,0
3.760578696584622,3.4059106959821177,3.0693322504404974,2.7516615674609795,2.463287414510136,2.196550487833509,1.9470655401200774,3.4059106959821177,3.196259487032548,2.9675529285514655,2.75669214380767,2.6546759986913098,2.515347836593176,2.3515066060978214,0,1.788280428050832,2.661317411006065,2.674280968344407,3.6164817455665292,3.289049105137555,2.9938535075400217,3.7835629000511655,3.4859349198748637,2.340625048652739,2.5453907015127104,3.2920233487645882,3.086964665064032,2.8842880621603966,3.5666863341518766,4.522236474373207,4.1781692707785085,2.7343350839518537,2.0649260360110064,2.792324242479024,2.7717798501886453,3.2314718002356004,0,5.118782268973195,0,0,0,3.9403990000000007,2.8650961548959795,2.5446781717896387,0,-0.15761596,-0.15761596,-0.15761596,0
4.687860777559129,4.326400583945282,3.9841608952048677,3.6607824464178518,3.3660180754698814,3.0923642498903883,2.8347111283887596,4.326400583945281,4.108610660221841,3.8719219952105806,3.6537334982682435,3.5450244129110535,3.399419257173321,3.22936795063822,0,2.694529828962331,3.558074489140147,3.5640379978644097,4.499585822714502,4.165823979891384,3.864584537341039,4.724256491026624,4.416071004923304,3.263416368131204,3.431706626281296,4.169020429433073,3.9576101327417295,3.7514272994968887,4.50241449893707,5.450804723608514,5.106875006171279,3.6550831342007353,2.94015751040229,3.6599090238299525,3.717533206527842,4.165743699604809,0,6.067594446283464,0,0,0,4.900995010000001,3.7948366684288852,3.4693569194100258,0,-0.1960398004,-0.1960398004,-0.1960398004,0
5.605197610615767,5.234382620780233,4.8833832418090735,4.55177660603671,4.249200278330787,3.96805318763729,3.703041953432405,5.234382620780233,5.007155192641034,4.761371227935672,4.534471658311262,4.417431377386004,4.2638594904750535,4.086171739042814,0,3.5846747400638446,4.438728573579949,4.436194678615671,5.3635249143387,5.021837224854711,4.713217386900362,5.655051568899492,5.333313309471961,4.1689988954971655,4.298930098631705,5.0253092150622205,4.806191997026283,4.601148370394208,5.424169545600411,6.363569965390493,6.013370153425552,4.550036471563449,3.792829502373225,4.5100299698260224,4.656116802379033,5.080759532637278,0,7.00691850182063,0,0,0,5.851985059900001,4.703116715044777,4.371801108358649,0,-0.234079402396,-0.234079402396,-0.234079402396,0
6.512434950515892,6.131760724337291,5.771185186179864,5.430317245624902,5.118807792450885,4.8290551267542225,4.555743815944391,6.131760724337291,5.894774556950158,5.639442911320748,5.403223466265849,5.277103923254721,5.114704650027023,4.928473241903032,0,4.462978377155261,5.307456918287354,5.2957801867125305,6.214196808569701,5.863812640445481,5.5475721508502485,6.575643732903888,6.239738122371909,5.0626344730181305,5.152964332996278,5.867600349059438,5.640545734458732,5.437477428061015,6.3348960480479795,7.264965170742478,6.908738159737081,5.432317702163181,4.631431895982005,5.34677954282906,5.585058905616402,5.98322805751618,0,7.936849316802425,0,0,0,6.793465209301002,5.597133486069753,5.2585463404222565,0,-0.27173860837204,-0.27173860837204,-0.27173860837204,0
7.409623852619052,7.019049084121746,6.648739056276984,6.298321863048556,5.977466175389312,5.678585428809678,5.39637714834416,7.019049084121746,6.77227758217323,6.507307246563068,6.261603442204297,6.126164561637746,5.954619741673357,5.759509816025545,0,5.330916939330017,6.165830354756161,6.144812615395064,7.054074317551912,6.694748241638192,6.370742344542018,7.486053274774115,7.135946522518275,5.946051928769306,5.996243166897937,6.6988689607354255,6.463738899868296,6.262905532461375,7.235340454281355,8.156079897423647,7.79402250207113,6.304293347677385,5.458960433062595,6.172639123224912,6.5044365506216835,6.875068795179036,0,8.857480823634402,0,0,0,7.725530557207991,6.479766788604507,6.133167471978377,0,-0.3090212222883196,-0.3090212222883196,-0.3090212222883196,0
8.296860712011629,7.896455023876413,7.516440962891285,7.15645384782993,6.826170890446983,6.518014657111831,6.226700417905171,7.896455023876413,7.639964843683629,7.365397016644531,7.110219817041743,6.965438370688951,6.784690716561903,6.580621880999299,0,6.189030138311965,7.014444869799464,6.984077494644848,7.884155801569733,7.515845926869818,7.184059188013504,8.386372172797591,8.022172654393518,6.819599012094856,6.8297177050689175,7.520303598732013,7.277087678069042,7.078614519155565,8.125757375674487,9.037246844164095,8.66953040431516,7.16653517443949,6.276658705664531,6.988781871403016,7.414448825089175,7.756863462979643,0,9.768906015398057,0,0,0,8.648275251635912,7.352116354477584,6.997243312197966,0,-0.3459310100654363,-0.3459310100654363,-0.3459310100654363,0
9.174251941766126,8.764113104767217,8.374479538949682,8.004988487670445,7.665320199087451,7.34790142967096,7.047462839890944,8.764113104767217,8.497999080995399,8.213918788614523,7.949341212831916,7.79527636462794,7.605369869082866,7.392373617076171,0,7.037559297951388,7.853565723049729,7.813912671500204,8.704861252200796,8.327613408911072,7.988097645344509,9.276707586154428,8.898558216303742,7.683444623921689,7.653789909870879,8.332406992949084,8.08116094955593,7.885131572621232,9.00628982599833,9.908626243176995,9.535414697888836,8.019260624074684,7.085062545467968,7.795731097733453,8.315241811655083,8.628840507860648,0,10.671216955244077,0,0,0,9.561792499119553,8.214628289226514,7.851439780882597,0,-0.3824716999647819,-0.3824716999647819,-0.3824716999647819,0
