"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""White: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""White: (1, 0)""","""White: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""White: (1, 4)""","""White: (1, 5)""","""Wall: (2, 0)""","""Brown: (2, 1)""","""White: (2, 2)""","""White: (2, 3)""","""Green: (2, 4)""","""White: (2, 5)""","""Green: (3, 0)""","""White: (3, 1)""","""Brown: (3, 2)""","""White: (3, 3)""","""White: (3, 4)""","""White: (3, 5)""","""White: (4, 0)""","""Green: (4, 1)""","""White: (4, 2)""","""Brown: (4, 3)""","""Brown: (4, 4)""","""White: (4, 5)""","""White: (5, 0)""","""Wall: (5, 1)""","""Green: (5, 2)""","""Wall: (5, 3)""","""Wall: (5, 4)""","""Wall: (5, 5)"""
1,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0,-1,-0.04,-0.04,1,-0.04,1,-0.04,-1,-0.04,-0.04,-0.04,-0.04,1,-0.04,-1,-1,-0.04,-0.04,0,1,0,0,0
1.88704,1.44661568,1.09779961856,0.8215372978995201,0.6027375399364199,0.42944813162964457,1.44661568,1.2449745708800002,1.0507420223744002,0.8695598742125774,0.8341264275470451,0.6591834956485946,0,-0.11694013986303975,0.7766506078740839,0.8341264275470451,1.7392466469444172,1.3987825104491893,1.88704,1.5419586061535593,0.2941596262531534,0.6457899336163219,1.3974565478079943,1.2022239465087494,1.54957568,2.4789178405692027,2.051424732729871,0.5896615917500734,0.16120208344718878,0.9241603718962011,1.1793439385600002,0,2.8227283883220577,0,0,0
2.82456759232,2.4635249679545606,2.1238173970725174,1.8094819985205313,1.5353592756091239,1.2837790773829716,2.4635249679545606,2.259024206662579,2.0362935041664763,1.8344616894805394,1.737079644401388,1.6013406755612833,0,0.8544585080098561,1.7399143639199828,1.757330598144163,2.702124916758906,2.377635831657987,2.83476063232,2.535134679306767,1.3831692365792945,1.6270877863845186,2.3801847956294875,2.1977460441448113,2.603951279333791,3.5587206127000837,3.1948905901237,1.7498115358132948,1.1498295770017943,1.9059398719035923,2.2558395130672424,0,4.089253568265738,0,0,0
3.760578696584622,3.4059106959821177,3.0693322504404974,2.7516615674609795,2.463287414510136,2.196550487833509,3.4059106959821177,3.196259487032548,2.9675529285514655,2.75669214380767,2.6546759986913098,2.515347836593176,0,1.788280428050832,2.661317411006065,2.674280968344407,3.6164817455665292,3.2908498366817525,3.7835629000511655,3.4859349198748637,2.340625048652739,2.5453907015127104,3.2938240803087857,3.1100185129728546,3.5666863341518766,4.522236474373207,4.1781692707785085,2.7343350839518537,2.068095892234248,2.816564202924147,3.2314718002356004,0,5.118782268973195,0,0,0
4.687860777559129,4.326400583945282,3.9841608952048677,3.6607824464178518,3.3660180754698814,3.0923642498903883,4.326400583945281,4.108610660221841,3.8719219952105806,3.6537334982682435,3.5450244129110535,3.3995975295961967,0,2.694529828962331,3.558074489140147,3.5640379978644097,4.499764095137377,4.168265151563139,4.724256491026624,4.416071004923304,3.263416368131204,3.4318848987041717,4.171461601104829,3.982132531331697,4.50241449893707,5.450804723608514,5.106875006171279,3.6551007831705995,2.944492421698404,3.684193570652336,4.165743699604809,0,6.067594446283464,0,0,0
5.605197610615767,5.234382620780233,4.8833832418090735,4.55177660603671,4.249200278330787,3.968070836607155,5.234382620780233,5.007155192641034,4.761371227935672,4.534471658311262,4.417449026355868,4.264116891702707,0,3.5846747400638446,4.438728573579949,4.436212327585535,5.363782315566353,5.024494286808958,5.655051568899492,5.333313309471961,4.1689988954971655,4.299185752611342,5.027966104038913,4.831399240054385,5.424169545600411,6.363569965390493,6.013370153425552,4.55006352855545,3.7973406072203897,4.5271400817324725,5.080759532637278,0,7.00691850182063,0,0,0
6.512434950515892,6.131760724337291,5.771185186179864,5.430317245624902,5.118809539698901,4.829083740544207,6.131760724337291,5.894774556950158,5.639442911320748,5.403225213513865,5.277130962774242,5.114991947225163,0,4.462978377155261,5.30745866553537,5.295807226232052,6.214483932790288,5.866564002310584,6.575643732903888,6.239738122371909,5.062634645995684,5.15324879742921,5.870351430480785,5.665792006212965,6.3348960480479795,7.264965170742478,6.908738176861859,5.4323485563470735,4.635307708110656,5.354389600115138,5.98322805751618,0,7.936849316802425,0,0,0
7.409623852619052,7.019049084121746,6.648739056276984,6.29832203602611,5.977469162277521,5.678619069612964,7.019049084121746,6.77227758217323,6.507307419540622,6.26160627323973,6.12619552481758,5.954919979775955,0,5.330917112307571,6.165833185791595,6.144843563145473,7.054374250585752,6.69751489307682,7.486053274774115,7.1359465396430535,5.946052224299992,5.996540063834512,6.701635281398617,6.488807096790389,7.235340454281355,8.156079899119002,7.79402253267139,6.304325819273718,5.461907969387202,6.16994868003872,6.875068795179036,0,8.857480823634402,0,0,0
8.296860712011629,7.896455023876413,7.516440980016062,7.156454158790039,6.826174497784126,6.518050568134531,7.896455023876413,7.639964860808406,7.365397312175216,7.1102231457143885,6.965471057494414,6.7849940581955,0,6.1890304492720745,7.014448198472109,6.984110153862524,7.884458769409529,7.518597659715951,8.386372172797591,8.02217268534641,6.819599369177563,6.83001747226616,7.523054977708946,7.301903691870468,8.125757375842328,9.0372468475292,8.669530442331514,7.166568096189007,6.278574703192031,6.975511538901255,7.756863463112573,0,9.768906015398057,0,0,0
9.174251941766126,8.76411310646257,8.374479571245296,8.004988873572213,7.665324097841768,7.347938103497353,8.76411310646257,8.497999111763498,8.213919145718716,7.949344767125264,7.795309559421088,7.60567221161962,0,7.037559682643366,7.853569277223307,7.8139458321798605,8.705163188262322,8.33033925954928,9.276707586171044,8.898558254734553,7.683445009985693,7.654088597868219,8.335132481787891,8.10569527475521,9.006289826361249,9.908626247602221,9.535414739613952,8.019293486485916,7.08591062308934,7.771791451643195,8.628840508174399,0,10.671216955244077,0,0,0
