"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""White: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""Wall: (1, 0)""","""Brown: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""Wall: (1, 4)""","""White: (1, 5)""","""Green: (2, 0)""","""White: (2, 1)""","""Brown: (2, 2)""","""White: (2, 3)""","""Wall: (2, 4)""","""White: (2, 5)""","""White: (3, 0)""","""Green: (3, 1)""","""White: (3, 2)""","""Brown: (3, 3)""","""Wall: (3, 4)""","""White: (3, 5)""","""White: (4, 0)""","""Wall: (4, 1)""","""Green: (4, 2)""","""White: (4, 3)""","""Brown: (4, 4)""","""White: (4, 5)""","""Green: (5, 0)""","""Brown: (5, 1)""","""White: (5, 2)""","""Green: (5, 3)""","""White: (5, 4)""","""White: (5, 5)"""
1,-0.04,-0.04,-0.04,-0.04,-0.04,0,-1,-0.04,-0.04,0,-0.04,1,-0.04,-1,-0.04,0,-0.04,-0.04,1,-0.04,-1,0,-0.04,-0.04,0,1,-0.04,-1,-0.04,1,-1,-0.04,1,-0.04,-0.04
1.99,1.43312,1.08711104,0.81307194368,0.59603297939456,0.4241381196804916,0,0.03207103999999994,0.82020697664,0.6861380479232,0,0.2879973907869494,1.88704,1.55671071296,0.3101553753516799,0.5301667161149907,0,0.18017393350326394,1.54957568,2.48037829914304,2.054164995081104,0.6754251809996183,0,0.09477775533458505,1.1793439385600002,0,2.7219386761042346,2.2816425243935163,0.704100879319665,0.5230708941992985,2.0077550499174404,0.3921419995346127,2.2535974894284805,3.1097318215423146,2.48865358971416,1.978837661579345
2.9701000000000004,2.45737311296,2.0950639891116802,1.7677124685451675,1.4780428050078958,1.20111131710253,0,1.0306150291116798,1.7892492340029038,1.6050916159984567,0,0.9683036465210197,2.83546700058304,2.553278203958985,1.4026943462148331,1.4225858050414302,0,0.7625709268782939,2.6046553083969286,3.561218998057468,3.1888241156711024,1.892267304225573,0,0.5827221696438566,2.2563971040852477,0,4.020903238460791,3.6397532783119675,2.1987672888574274,1.9550181160661797,3.0246563143312692,1.4731719168582185,3.5982628349625996,4.518023190175953,4.002329033597942,3.5192963165964772
3.9403990000000007,3.4261068340650973,3.0580236216679006,2.7158623127307964,2.403615427074354,2.0784354996416194,0,1.9926431746279007,2.738130452632987,2.5409419364773034,0,1.7978450377273247,3.7842619730507847,3.506967837752073,2.364287029761747,2.3473264243355385,0,1.5348823134019434,3.567557038995207,4.525255671629349,4.176136328484475,2.9002208627218073,0,1.623753337513898,3.232271801493083,0,5.065904967320208,4.706602895354483,3.341538029043833,3.271641741110302,4.014963684416976,2.471539277596173,4.664163418427045,5.607255409861733,5.1279891238120285,4.693670253772098
4.900995010000001,4.378044298780607,4.001230337990029,3.6493980483597053,3.326239108861609,2.97813314741792,0,2.935757673733069,3.6711676890989295,3.465322107232933,0,2.674654770225003,4.724965564848775,4.440813048551109,3.2940070321932353,3.263027121124831,0,2.3822332760717875,4.503361185712061,5.454302862381818,5.1074391549582305,3.834085182358371,0,2.872643419787111,4.166651875779583,0,6.012570089131714,5.6566482292221085,4.31854858567664,4.428815683339409,4.989831178517704,3.4413110703500642,5.617763592133286,6.564395225238862,6.094208251628557,5.689739043063857
5.851985059900001,5.318838562719655,4.932087546355774,4.5705706321174455,4.238487284191615,3.8765079329264087,0,3.866605752594335,4.592074194836673,4.377574174541907,0,3.5597759273822662,5.655777075665752,5.3621453968099155,4.207070975903148,4.166578457842961,0,3.251024723148969,5.42518418468857,6.36757425193333,6.014863272969648,4.736271154211403,0,4.03640541832266,5.081742945677706,0,6.919024325708991,6.558633237527097,5.225300451014675,5.422030819407628,5.949032131681368,4.393013040220956,6.524650684242043,7.4667031597335285,6.994260264070634,6.59951934552862
6.793465209301002,6.249783432982479,5.852720491300176,5.481220964969015,5.140347486525401,4.767347311498677,0,4.787237793717794,5.50267101396745,5.2792712779178865,0,4.4405747043286405,6.576390608702354,6.272827754611726,5.108315476059261,5.059397351567286,0,4.120638061011779,6.335984447317833,7.2694994809236855,6.908150229266616,5.621440009899505,0,5.053456681798729,5.98428478551991,0,7.809714556398879,7.441020102461582,6.103024431943019,6.327799791542382,6.89303182309457,5.32909778585465,7.412078222281142,8.34623055500398,7.866845784468505,7.470346455869086
7.725530557207991,7.171285302752056,6.763841718801124,6.3822513733362936,6.032531890014373,5.6493495364582875,0,5.698358931740468,6.403748032046668,6.171361999368836,0,5.313518624332035,7.486826492638263,7.173384565023256,5.999198503368434,5.942519693138755,0,4.984193086551303,7.236509491065415,8.161161037472557,7.790721934595229,6.495222211963855,0,5.972201857897715,6.876203904456751,0,8.690371144198673,8.312077770135167,6.966182745371793,7.192618664202819,7.82243554091848,6.250530310006657,8.287853271841405,9.21315231548717,8.72528645832003,8.322060421876582
8.648275251635912,8.083528778510404,7.665746177914172,7.274078696805832,6.9155116420930645,6.52240916845595,0,6.600263381995167,7.29566188566306,7.054305692488376,0,6.177824749034857,8.38717684455617,8.064025078415792,6.880259860310879,6.816465284242307,0,5.839707432372764,8.127013443213746,9.042888072498233,8.663459822865049,7.359185942092491,0,6.83904994991238,7.7580830201077235,0,9.560953942581289,9.172937010024768,7.818421563105106,8.037164836629739,8.73784028594903,7.15797450785295,9.153017078035054,10.069412369029443,9.57280169039241,9.161222239382916
9.561792499119553,8.986635083192738,8.558594384182795,8.156916806812902,7.789549416130244,7.386646295406743,0,7.493111587386812,8.17860106298042,7.928335879787229,0,7.033433166271042,9.27754889937771,8.944882694635767,7.75171112185023,7.681491480994648,0,6.686741139296472,9.007638978362632,9.914839376809471,9.526506627811823,8.213581669837886,0,7.679566440693404,8.630150508844535,0,10.421548369403224,10.02388271841522,8.660646215081108,8.868771307710643,9.639800595156196,8.052001023918592,10.007886234469211,10.915482111356637,10.410173174836336,9.989826515632643
10.466174574128358,9.880705183097035,9.442500854282011,9.030900692564767,8.654804132905085,8.24219273996693,0,8.377018057399209,9.052690716372812,8.793594981531141,0,7.880436416975474,10.158052328203441,9.816071329923785,8.613669030373918,8.537748115998154,0,7.525280387825277,9.878502801099165,10.77713437843713,10.379976950300147,9.05854319724464,0,8.504621030964124,9.492544019221755,0,11.27226476385952,10.865062198528266,9.493140380836214,9.689771857547195,10.528824188187125,8.933124959780084,10.852645793019276,11.751569354749872,11.237670970973483,10.808515647955803
11.361512828387074,10.76583276089169,10.31756351212105,9.896135373335367,9.51139043399682,9.08916151026278,0,9.25208071522965,9.918032195579192,9.650190306215535,0,8.718942326689266,11.028796401738084,10.677699044449575,9.466240548646118,9.38534560032249,0,8.355407839527304,10.739714830950657,11.629882654978704,11.223979088681194,9.894181810321731,0,9.318214275308275,10.345377861918829,0,12.113219556265088,11.69659925390404,10.316056932921159,10.500921443437363,11.405374760004692,9.801815551960173,11.687454994326245,12.577833047763123,12.055462836313964,11.617560838408584
12.247897700103204,11.642108412617752,11.183873837855584,10.752714321857162,10.359405048842243,9.92765107854131,0,10.118391040963337,10.774717632952331,10.498215628888492,0,9.549050234889192,11.88988936221275,11.529871470770763,10.309529180292163,10.224379381360537,0,9.177218538258648,11.591382525979508,12.473190619024967,12.058619095186943,10.720603208279254,0,10.121736209713431,11.1887597772357,0,12.944531223423756,12.51861391829981,11.129522680447726,11.302522152284224,12.269876129110516,10.658501373543643,12.512465836660985,13.394421192275733,12.86369515044179,12.417134775228488
13.125418723102172,12.50962107460145,12.041520446694333,11.600726258905732,11.198937396724105,10.757751848235111,0,10.976037649802,11.622835268372272,11.337759235882158,0,10.37085141031027,12.741438291803531,12.372692725722269,11.143636620764399,11.054938899029041,0,9.990803587540947,12.43361186846384,13.307163050953339,12.884001752929674,11.53791111723586,0,10.915701314132365,12.022795035716033,0,13.76631902032109,13.331225562735952,11.933659210944937,12.09475269694065,13.122716339573357,11.503574612903739,13.327826248807074,14.20147741780136,13.662508196675963,13.20738335151211
13.99416453587115,13.368458526125892,12.8905903684833,12.440257635822777,12.030073652123011,11.57955005507742,0,11.825107571590959,12.462471385778613,12.168906879116056,0,11.184432222862748,13.583549092974868,13.206265673267982,11.968663253960361,11.877110861405868,0,10.796249430840403,13.266507598658398,14.131903461835362,13.70023078692747,12.346208089236598,0,11.700352996175205,12.847587435209226,0,14.578702310632023,14.13455309521732,12.728586624766587,12.87775820724661,13.964251414645574,12.337394893754237,14.133680588864568,14.99939280466719,14.452237488619229,13.988601105303546
14.854222890512439,14.21870757295982,13.73116951145611,13.271393540052186,12.852898266841688,12.393129672854693,0,12.665686714563764,13.293711018847544,12.99174285561973,0,11.98987628102774,14.41632649410779,14.030692010796885,12.78470831132286,12.690980439750971,0,11.59363940188037,14.090173278322256,14.947514188221822,14.507408888645216,13.145595659768873,0,12.475854393382006,13.663239548602657,0,15.38180008829403,14.928739527908045,13.51446329332837,13.651802003957334,14.79480872576087,13.160292699765948,14.930194534867754,15.788379871621625,15.233100235737144,14.761015294520647
15.705680661607314,15.06045411845783,14.563342834318666,14.094218027951905,13.667494534972564,13.198573261132633,0,13.497860037426323,14.116638211191944,13.806350403752266,0,12.787265526460539,15.239874060803947,14.846072304495895,13.591869928044629,13.496631706183559,0,12.383054898529062,14.90471131534459,15.754096424531973,15.305637699846853,13.936176810453777,0,13.242446357023846,14.469852792376246,0,16.175733061165616,15.713911695968633,14.291426852584644,14.417103770058008,15.614690001098184,13.97257243542342,15.717514862840629,16.56850775308353,16.005186322186013,15.524741354564611
16.54862385499124,15.893783194585597,15.387194413617344,14.90881425032365,14.4739448041809,13.995962324882997,0,14.321711616725002,14.931336115612186,14.612811851673413,0,13.576680735546523,16.054294208395433,15.652506009133624,14.390245166964275,14.294147796966982,0,13.1645760124616,15.710222979296963,16.551750240536087,16.095018035089442,14.718052173591465,0,14.000350564576665,15.267527452493693,0,16.960621341338246,16.490181535080715,15.059588480086223,15.173787685579454,16.42417400877536,14.774515157163922,16.49577137045439,17.339852952013555,16.768576243419687,16.27986675976266
17.383137616441328,16.718778978541284,16.202807473398423,15.71526450302926,15.272330557626994,14.785377464623103,0,15.13732467650608,15.737887035221325,15.411208676201754,0,14.35820173761971,16.859688214630733,16.450091482774717,15.17993005631834,15.08361097902704,0,13.938281826662209,16.506808414751017,17.340574595090576,16.875649667679742,15.491319995699023,0,14.749709258765106,16.05636270007656,0,17.736582785115168,17.257659687634764,15.81905478023382,15.921945877847541,17.223518949126426,15.566381008826585,17.26509072793439,18.102496568158788,17.52335275332346,17.026474831755593
18.209306240276913,17.535524804149006,17.01026440123937,16.51365025052545,16.062732448826303,15.566898440492473,0,15.944781604347028,16.536372443555912,16.201621529272167,0,15.131907508918744,17.656156232296336,17.238925999723023,15.961019580792964,15.865102676605735,0,14.704250548742763,17.29456665395302,18.12066734881734,17.647631174488236,16.25607736425449,0,15.490623568490745,16.83645660454595,0,18.503733034151058,18.016455382356554,16.569931008648563,16.661663878513544,18.012964587521694,16.348411393064843,18.025596451208777,18.85652325323045,18.26960150899375,17.764650127439698
19.027213177874145,18.344103171317432,17.809646759318138,17.30405213957993,16.845230319414913,16.340604201968322,0,16.744163962425798,17.326872997058064,16.984130252653998,0,15.897876214724825,18.443797301717385,18.01910576277324,16.73360767709949,16.638703485118786,0,15.46255957071313,18.073595629234436,18.89212527640114,18.411059949323505,17.012420207744274,0,16.223181258343896,17.60790614605377,0,19.26218554670033,18.766676355623158,17.31232139290013,17.393027442802193,18.79273415594115,17.12083090733223,18.777409014882366,19.602020458422253,19.00741057035792,18.49447925117742
19.836941046095404,19.14459575474814,18.601035293641768,18.08655000939544,17.619903210685344,17.106572904115414,0,17.53555249674943,18.10946854475522,17.758813888384704,0,16.656185230574923,19.2227093631244,18.790725915136434,17.49778724570185,17.40449318195193,0,16.213285497616543,18.84399218525245,19.655044078682163,19.16603221676409,17.760443299897094,0,16.947467623851427,18.370807227638586,0,20.012051634919665,19.508428806929995,18.046329079451105,18.116123862635593,19.563036048479784,17.883849070047773,19.520645978174908,20.339077801375172,19.73686984402023,19.216050624731515
20.63857163563445,19.937083412320746,19.384509942559333,18.861222900387226,18.386829372822383,17.864881918609676,0,18.31902714566699,18.88423813687811,18.525750687607704,0,17.4069111551927,19.992989268883836,19.553880552166568,18.2536501623265,18.16255073566887,0,16.956504163440695,19.605852091085524,20.40951839459376,19.912643046445627,18.500240267502225,0,17.663568688729974,19.125254687212177,0,20.75344050829381,20.24181737138756,18.772056051562608,18.83104190629298,20.32406533322949,18.637661859787215,20.255422109023776,21.067786522040493,20.45807058911877,19.92945406715349
21.432185919278105,20.721646193309045,20.160149844965073,19.628149062423837,19.146086273258515,18.61560784272718,0,19.09466704807273,19.6512600330447,19.28501811878427,0,18.150129820168083,20.754732795592965,20.308662732933612,19.001287289352963,18.9129543145543,0,17.69229064193438,20.359270052191878,21.15564181296118,20.650986367832285,19.231903600231416,0,18.37157179015258,19.87134230940398,0,21.486459321777446,20.966945104952657,19.48960306054996,19.537871472903017,21.07600510053847,19.38245308786434,20.981849504228315,21.788239014697428,21.171104990957566,20.63478038130399
22.21786406008532,21.49836334648437,20.928033348338587,20.387405962823763,19.89775060466161,19.358826507518625,0,19.862550551446244,20.410611710236985,20.036692875629527,0,18.88591629834803,21.508034656040333,21.055164491660282,19.7407884871238,19.65578129486472,0,18.420719255394648,21.1043397222341,21.893506884166936,21.381154985341436,19.95552466197234,0,19.0715654209894,20.6091628372714,0,22.21121322731514,21.6839134800239,20.199069573278173,20.2367032255647,21.819027665469644,20.1183956224491,21.7000377051111,22.500528426551156,21.87606579568785,21.332120987264776
22.99568541948447,22.267313328126836,21.688238016675438,21.139070294213827,20.641898292740354,20.09461298563116,0,20.622755219783095,21.1623698706528,20.780850884899305,0,19.61434491169279,22.252988511033116,21.793476849029283,20.472242625174626,20.39110826892415,0,19.14186358262883,21.841153714771938,22.623205131685797,22.10324059369164,20.671193703349637,0,19.76363890800314,21.338807983879107,0,22.927805427615063,22.39282238953131,20.900553734036436,20.927628260914215,22.553295640337485,20.845652480392207,22.410093808458523,23.20474831463901,22.5730459986368,22.02156760649007
23.765728565289624,23.028573809952466,22.440840638327852,21.883217982287864,21.37860450393458,20.82304159895126,0,21.375357841435513,21.906610449462807,21.51756731407384,0,20.33548923888457,22.98968698109293,22.52368982336461,21.195737593377064,21.119011053114306,0,19.855796466557084,22.569803614824917,23.344827063491323,22.817333793363346,21.37899987516569,0,20.44788208642868,22.060368443749397,0,23.636337231251495,23.09377015794185,21.594152338624596,21.61073782369448,23.27896289147189,21.56437780116339,23.112122572615622,23.900992353748084,23.262138579557362,22.703211992597705
