"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""Green: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""White: (1, 0)""","""White: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""White: (1, 4)""","""White: (1, 5)""","""Wall: (2, 0)""","""Brown: (2, 1)""","""White: (2, 2)""","""White: (2, 3)""","""Green: (2, 4)""","""White: (2, 5)""","""Green: (3, 0)""","""White: (3, 1)""","""Brown: (3, 2)""","""White: (3, 3)""","""White: (3, 4)""","""White: (3, 5)""","""White: (4, 0)""","""Green: (4, 1)""","""White: (4, 2)""","""Brown: (4, 3)""","""Brown: (4, 4)""","""Green: (4, 5)""","""White: (5, 0)""","""Wall: (5, 1)""","""Green: (5, 2)""","""Wall: (5, 3)""","""Wall: (5, 4)""","""Wall: (5, 5)"""
1,-0.04,-0.04,1,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0,-1,-0.04,-0.04,1,-0.04,1,-0.04,-1,-0.04,-0.04,-0.04,-0.04,1,-0.04,-1,-1,1,-0.04,0,1,0,0,0
4.1155233475288995,3.558021963635496,3.0649077393460464,3.7961152181311517,3.3027495054902416,2.879812899944016,0.8929424828747525,0.7682597522860941,0.678109042696936,0.7219295489271339,0.8436318635721491,0.902923307378725,0,-2.678018555385468,-1.9954412279668161,-1.488446184555063,-0.06289575774299117,0.022091469114710674,4.108757803012571,3.130825571000525,1.460522056374589,1.0191320135071402,0.6945383784081968,0.5627224363335154,0.7874271839973646,2.1154072892526945,2.1547595152344856,0.8572183225323364,-0.31871128536488,0.8537511683799002,-0.003570896265994286,0,4.586208519095616,0,0,0
7.691993386617562,7.286583172576591,6.045100366249343,7.253350397731099,6.868204823441237,6.4922547090687095,7.2863271661050355,6.964128127606878,6.0321527126988315,6.871108772183433,6.61636781439465,6.2933959689905175,0,4.69589799805457,4.622021914820117,4.6308770670947705,7.223913504500533,6.184830410243631,7.623137053045641,7.167739323916147,5.7454133966833645,5.434740740794384,5.298853778316263,3.774661207589303,7.341481015295277,8.014639847630406,7.096079929471195,5.624051138458607,4.129833958883766,4.7609377933002826,6.972586023671923,0,8.34589260447126,0,0,0
11.1666831056616,10.73300062135171,10.317527641986027,10.880826765539053,10.36021824544857,9.894103102953176,10.733000596759833,10.442411091198851,10.120891523053068,10.421402518752858,9.254484773593754,9.16112612523801,0,7.916228637657698,9.592104489818935,9.170575855623543,10.129496927752376,9.757558470560546,11.020701980405153,10.07836243961898,8.488610389230438,8.40447495873495,9.682650005076743,9.514614076568652,10.22081078847653,11.25219816567781,10.653520247754699,9.083239577894194,7.8456019358872435,8.637642785750181,9.849370795705484,0,11.957430135743603,0,0,0
14.492663920515977,14.0225951186117,12.919245731146766,14.07162856114092,13.620801190898678,13.177760438118261,14.02259511860934,13.690962715365433,13.284298107427196,13.664674458858528,13.339014501351501,12.91991106130824,0,12.171681148746153,12.924106689022917,13.2700417456658,12.921367416999052,12.625439152921475,14.209562827391782,13.280764419484848,11.896203718633132,11.773942457193462,12.511988261114112,12.350679610552815,13.393006344681478,14.454842612183192,14.085983361139755,12.47534612521921,11.37572432096029,13.139105311094108,12.983736938935582,0,15.426658678249062,0,0,0
17.673376151235157,17.168026879876244,15.982736206149095,17.12797714324281,16.657136832707888,16.205024079738298,17.168026879876244,16.801136513772335,16.35598339511583,16.70117519403505,16.462976107499834,16.10661685713713,0,15.248340870578293,15.973366386893264,16.395282833364185,17.16545247374609,15.919462741856634,17.27674054299614,16.421126554385406,15.275026003057054,16.02688777738497,16.59197026593955,15.463644603185193,16.50314883593303,17.594181091137333,17.40008182002869,15.858435964263588,14.398170502329084,16.49301653706168,16.059287531984925,0,18.75918577395792,0,0,0
20.71526447846747,20.176412031104643,19.65147081801153,20.268486605187686,19.62421823588547,19.04473494572154,20.176412031104643,19.775617872093303,19.25561316514894,19.65820525020732,18.012615458629714,17.869605841859432,0,18.07158920447033,17.492804102508543,17.98400960966858,18.581431869964337,18.183762978693277,20.243879768627522,19.458127897170545,18.290282967125606,17.57324088932884,18.154422848392745,18.010112390350052,19.53401061021193,20.649032414210154,20.562567271619766,18.815298785529176,17.11263443522681,19.627553762435934,19.057588274345484,0,21.960398005312747,0,0,0
23.62392134415898,23.047634941140057,21.79962651858994,22.98634565583429,22.428631838815395,21.890721285451548,23.047634941140057,22.569328316605827,21.612946087850673,22.413808470737564,21.9631051912549,21.53810251589557,0,20.915588341031988,21.245497065227045,21.845974848669655,21.205782562123087,20.93331627052808,23.118691989707997,22.40115202594881,21.309021437734728,20.782203809660928,20.858482298610852,21.397456786888522,22.468825080040713,23.604644974017596,23.614777401019612,21.84988366582352,20.331990128474246,22.61055126735922,21.961748059151795,0,25.035469701915392,0,0,0
26.40425639574115,25.801679920616657,25.214204937982682,25.835816421405934,25.238444896504127,24.659158007937222,25.801679920616657,25.33887232042805,24.814224469031426,25.264831135110107,24.7868135136421,24.280694553371777,0,23.630343999742042,23.825583951650348,24.775627327219038,25.39505217338632,24.015529016622782,25.904167909310743,25.278235856176565,24.22968193279126,23.633156209178587,23.307050505895184,24.19714958971857,25.33561472682865,26.51387670887033,26.555844313327977,24.751384636705602,23.131666794376486,25.449185455712453,24.79517096865281,0,27.989371304135823,0,0,0
29.064547666091006,28.428204798326767,27.135697692878985,28.31755985522354,27.721142776957098,27.15509528655644,28.428204798326767,27.89246852142903,26.895487984159892,27.69901921842403,27.35385626906762,26.96717679550408,0,26.13257319245416,26.105243398102136,26.9740023882375,27.989248598570505,27.413319364865387,28.616456618413128,28.090714678767682,27.081800730212077,26.65572960116469,27.382486092625783,27.098586453915264,28.140187927503675,29.340410027088257,29.38872771269832,27.57731478125985,26.03310365702307,28.220850962478117,27.570314647409564,0,30.826877397161383,0,0,0
