"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""White: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""White: (0, 6)""","""White: (1, 0)""","""White: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""White: (1, 4)""","""White: (1, 5)""","""White: (1, 6)""","""Wall: (2, 0)""","""Brown: (2, 1)""","""White: (2, 2)""","""White: (2, 3)""","""Green: (2, 4)""","""White: (2, 5)""","""White: (2, 6)""","""Green: (3, 0)""","""White: (3, 1)""","""Brown: (3, 2)""","""White: (3, 3)""","""White: (3, 4)""","""White: (3, 5)""","""White: (3, 6)""","""White: (4, 0)""","""Green: (4, 1)""","""White: (4, 2)""","""Brown: (4, 3)""","""Brown: (4, 4)""","""Green: (4, 5)""","""White: (4, 6)""","""White: (5, 0)""","""Wall: (5, 1)""","""Green: (5, 2)""","""Wall: (5, 3)""","""Wall: (5, 4)""","""Wall: (5, 5)""","""Green: (5, 6)""","""White: (6, 0)""","""White: (6, 1)""","""Wall: (6, 2)""","""White: (6, 3)""","""White: (6, 4)""","""White: (6, 5)""","""Wall: (6, 6)"""
1,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0,-1,-0.04,-0.04,1,-0.04,-0.04,1,-0.04,-1,-0.04,-0.04,-0.04,-0.04,-0.04,1,-0.04,-1,-1,1,-0.04,-0.04,0,1,0,0,0,1,-0.04,-0.04,0,-0.04,-0.04,-0.04,0
1.88704,1.44661568,1.09779961856,0.8215372978995201,0.6027375399364199,0.42944813162964457,0.2922029202506785,1.44661568,1.2449745708800002,1.0507420223744002,0.8695598742125774,0.8341264275470451,0.6591834956485946,0.5070414176585041,0,-0.11694013986303975,0.7766506078740839,0.8341264275470451,1.7392466469444172,1.3987825104491893,1.11407284862395,1.88704,1.5419586061535593,0.2941596262531534,0.6457899336163219,1.3974565478079943,1.3042650543984016,1.099311135097305,1.54957568,2.4789178405692027,2.051424732729871,0.5896615917500734,0.26416208344718894,2.0551699693448056,1.7955264180957193,1.1793439385600002,0,2.8227283883220577,0,0,0,2.62005692313181,0.8861203993395201,0.6538873562768999,0,-0.0796,-0.0796,-0.0796,0
2.82456759232,2.4635249679545606,2.1238173970725174,1.8094819985205313,1.5353592756091239,1.2837790773829716,1.0558782187403226,2.4635249679545606,2.259024206662579,2.0362935041664763,1.8344616894805394,1.737079644401388,1.6013406755612833,1.4430869707135996,0,0.8544585080098561,1.7399143639199828,1.757330598144163,2.702124916758906,2.3877379013390625,2.102785830335817,2.83476063232,2.535134679306767,1.3831692365792945,1.6270877863845186,2.3902868653105624,2.2929550765236684,2.1619533332014673,2.603951279333791,3.5587206127000837,3.1948905901237,1.7498115358132948,1.269800366336617,3.1194877722655465,2.904053331011307,2.2558395130672424,0,4.089253568265738,0,0,0,3.8187815089410533,1.8990856621552816,1.5935455409698094,0,-0.11880399999999999,-0.11880399999999999,-0.11880399999999999,0
3.760578696584622,3.4059106959821177,3.0693322504404974,2.7516615674609795,2.463287414510136,2.196550487833509,1.9470655401200774,3.4059106959821177,3.196259487032548,2.9675529285514655,2.75669214380767,2.6546759986913098,2.516347941491602,2.3538828553364826,0,1.788280428050832,2.661317411006065,2.674280968344407,3.6174818504649555,3.301166624351757,3.0215917491518485,3.7835629000511655,3.4859349198748637,2.340625048652739,2.546390806411137,3.304140867978791,3.2125243527043152,3.09095815027797,3.5666863341518766,4.522236474373207,4.1781692707785085,2.7344340943367977,2.1964178322328345,4.049265932502988,3.8510828448050494,3.2314718002356004,0,5.118782268973195,0,0,0,4.806176351855928,2.8650961548959795,2.5446781717896387,0,-0.15761596,-0.15761596,-0.15761596,0
4.687860777559129,4.326400583945282,3.9841608952048677,3.6607824464178518,3.3660180754698814,3.0924632602753324,2.835024793288263,4.326400583945281,4.108610660221841,3.8719219952105806,3.6537334982682435,3.5451234232959976,3.4007071098285118,3.2331650686857527,0,2.694529828962331,3.558074489140147,3.5641370082493538,4.500873675369693,4.1794018656835465,3.8961744762987776,4.724256491026624,4.416071004923304,3.263416368131204,3.432984676908378,4.182597344824454,4.087255209121435,3.9640846004134547,4.50241449893707,5.450804723608514,5.106875006171279,3.6552194632409263,3.0753611512796146,4.922824081236559,4.727132506614023,4.165743699604809,0,6.067594446283464,0,0,0,5.758114588337369,3.7948366684288852,3.4693569194100258,0,-0.1960398004,-0.1960398004,-0.1960398004,0
5.605197610615767,5.234382620780233,4.8833832418090735,4.55177660603671,4.249210080358897,3.9681982502845274,3.7035638105607736,5.234382620780233,5.007155192641034,4.761371227935672,4.534481460339372,4.417567608405913,4.265325957338323,4.090512248611048,0,3.5846747400638446,4.438738375608058,4.43633090963558,5.364990410801186,5.035977940834054,4.745899617193997,5.655051568899492,5.333313309471961,4.168999865897948,4.300382204292897,5.039448509282558,4.937164619536777,4.808064558930122,5.424169545600411,6.363569965390493,6.013370249495231,4.5501938026860715,3.929071989860126,5.7671986238240684,5.573673045648145,5.080759532637278,0,7.00691850182063,0,0,0,6.700533442453996,4.703116715044777,4.371801108358649,0,-0.234079402396,-0.234079402396,-0.234079402396,0
6.512434950515892,6.131760724337291,5.771185186179864,5.430318216025685,5.118823018280059,4.829226727032469,4.556361097667726,6.131760724337291,5.894774556950158,5.6394438817215296,5.403237817763916,5.277261881148065,5.116246671988054,4.932991174985849,0,4.462979347556043,5.307471269785421,5.2959380580470965,6.215737270625933,5.878151636196699,5.579860613525467,6.575643732903888,6.239738218441587,5.062635979414522,5.154489306354312,5.881937656998957,5.771384300085231,5.63513619792569,6.3348960480479795,7.264965180253376,6.908738316402955,5.432484374386139,4.767263241165985,6.594689058062102,6.47149033469088,5.98322805751618,0,7.936849316802425,0,0,0,7.633528108029457,5.597133486069753,5.2585463404222565,0,-0.27173860837204,-0.27173860837204,-0.27173860837204,0
7.409623852619052,7.019049084121746,6.6487391523466615,6.298323456003727,5.977484582198336,5.678769655604115,5.397031442231163,7.019049084121746,6.772277678242908,6.507308752959459,6.261620422234923,6.126332337839663,5.956190419457293,5.764015125730083,0,5.330918532285188,6.165847334786788,6.1449802503459185,7.055643087762991,6.709099222742999,6.402122565454378,7.486053274774115,7.135946681162416,5.946053750948419,5.997795507660759,6.713218126475142,6.593943795968017,6.45689116352105,7.235340455222933,8.156079914816727,7.794022696242182,6.304463683746451,5.593884877607358,7.431094997624159,7.382110209458518,6.875068795924767,0,8.857480823634402,0,0,0,8.557192826949162,6.479766789195125,6.133167472446146,0,-0.3090212222883196,-0.3090212222883196,-0.3090212222883196,0
8.296860712011629,7.896455033387311,7.516441129068057,7.156455818167528,6.826190883072445,6.518204226824456,6.227361357873133,7.896455033387311,7.639965001291081,7.3653988389441665,7.110238051226611,6.965610099684185,6.786266240457053,6.585041770851409,0,6.189032101862662,7.014463103312429,6.984249049487944,7.885729241584226,7.5301383529407895,7.215020936031978,8.386372172890807,8.022172850580779,6.819600991815883,6.831274339905264,7.534594154786162,7.40856067229657,7.2726960358624435,8.125757377563447,9.037246866804603,8.669530618238825,7.166706313986669,6.412580900440113,8.3157571972133,8.291385592204247,7.756863464623355,0,9.768906015398057,0,0,0,9.47162089867967,7.352116355884184,6.997243313404611,0,-0.3459310100654363,-0.3459310100654363,-0.3459310100654363,0
9.174251942707706,8.764113122057665,8.374479749502882,8.004990654676302,7.665340895796538,7.3480925657317275,7.048117221803258,8.764113122057664,8.497999276808855,8.21392076966133,7.949359980284035,7.795449047985652,7.606940506953216,7.396747559132637,0,7.0375614525449475,7.85358448927303,7.814085163739825,8.706429726756351,8.34202696033676,8.019160268491229,9.276707586424493,8.898558432063805,7.683446673838208,7.655341491715754,8.346818657828253,8.219801008597432,8.08482643901802,9.006289828640638,9.908626268871359,9.535414921180507,8.019431350339502,7.227864043207703,9.203797651401025,9.193546892871224,8.628840510278811,0,10.671216955244077,0,0,0,10.376904689692875,8.21462829140041,7.851439782843238,0,-0.3824716999647819,-0.3824716999647819,-0.3824716999647819,0
